gameID,genre
3788,Adventure
6353,Shooter
6353,Platform
215184,NA
215182,NA
44959,Puzzle
47368,Shooter
47368,Sport
519,Shooter
210448,Racing
210448,Sport
203266,Visual Novel
203406,NA
2148,Platform
2148,Adventure
6553,Fighting
10740,Simulator
7686,Role-playing (RPG)
7686,Adventure
1840,Role-playing (RPG)
1840,Tactical
11833,Adventure
11833,Visual Novel
193702,Racing
217545,Visual Novel
36745,Platform
36745,Adventure
36745,Arcade
8194,Puzzle
215181,NA
17734,Puzzle
17734,Strategy
17734,Adventure
6193,Visual Novel
6345,Platform
6345,Strategy
6345,Adventure
215185,NA
4075,Music
4075,Puzzle
4075,Strategy
429,Shooter
5333,Platform
5333,Adventure
13552,Fighting
13552,Arcade
26148,Simulator
26148,Adventure
26148,Visual Novel
50648,Fighting
7206,Strategy
7206,Turn-based strategy (TBS)
36260,Real Time Strategy (RTS)
36260,Strategy
41,Shooter
41,Role-playing (RPG)
6969,Platform
6969,Arcade
9112,Point-and-click
9112,Puzzle
9112,Adventure
214573,Puzzle
6441,Fighting
6441,Arcade
4898,Music
4898,Puzzle
7385,Hack and slash/Beat 'em up
7385,Adventure
24185,Adventure
14410,MOBA
134528,Platform
134528,Adventure
134528,Arcade
20055,Platform
20055,Puzzle
20055,Strategy
20055,Adventure
1878,Real Time Strategy (RTS)
1878,Simulator
1878,Strategy
1878,Indie
18075,Racing
2174,Racing
2174,Sport
43953,Simulator
43953,Adventure
43953,Visual Novel
47483,Adventure
47483,Visual Novel
47649,Role-playing (RPG)
47482,Shooter
60857,Adventure
60857,Visual Novel
60953,Adventure
60953,Visual Novel
730,Shooter
730,Racing
730,Simulator
730,Adventure
944,Simulator
944,Sport
944,Strategy
130752,NA
2043,Real Time Strategy (RTS)
2043,Simulator
2043,Strategy
62623,Visual Novel
7185,Visual Novel
198993,NA
118948,Platform
71887,Hack and slash/Beat 'em up
71887,Adventure
123305,NA
80464,Visual Novel
66536,Adventure
21614,Shooter
21614,Puzzle
21614,Strategy
193595,Adventure
193595,Indie
69796,Racing
122497,NA
61272,Adventure
61272,Visual Novel
124279,NA
61263,Adventure
61263,Visual Novel
72952,Simulator
59156,NA
124015,NA
93388,NA
78401,NA
86190,Visual Novel
47934,Simulator
47934,Strategy
58057,Visual Novel
81499,Puzzle
81537,Racing
49175,Sport
180418,Visual Novel
122249,NA
84808,NA
84559,NA
18326,Adventure
136211,Platform
24168,Music
51072,Simulator
43603,Shooter
63842,Adventure
63842,Visual Novel
67618,Puzzle
90926,NA
122547,NA
122528,Simulator
79871,Visual Novel
4227,Racing
193353,Platform
132073,Visual Novel
21249,Sport
202994,Visual Novel
154271,NA
43880,Sport
47855,Puzzle
47816,Racing
92812,Racing
86227,Puzzle
86227,Strategy
86227,Adventure
10704,Shooter
10704,Strategy
10704,Pinball
547,Shooter
214655,Adventure
214655,Visual Novel
80770,Adventure
64873,Visual Novel
92863,Puzzle
147806,Adventure
147806,Visual Novel
61660,Music
61660,Visual Novel
43478,Hack and slash/Beat 'em up
20619,Puzzle
20619,Strategy
133238,Racing
194937,Platform
194937,Adventure
144785,Quiz/Trivia
66964,Adventure
66964,Visual Novel
193354,Platform
18655,Shooter
18655,Arcade
6389,Platform
6389,Adventure
5304,Strategy
5304,Quiz/Trivia
197870,NA
41823,Adventure
41823,Visual Novel
20776,Real Time Strategy (RTS)
20776,Simulator
20776,Strategy
51182,Shooter
51182,Simulator
2028,Role-playing (RPG)
