gameID,ratingOrg,rating,ageAbove
11617,ESRB,E,6
11617,PEGI,Seven,7
11617,CERO,CERO_B,12
11635,ESRB,M,17
11635,PEGI,Sixteen,16
11663,ESRB,M,17
11663,PEGI,Twelve,12
11672,ESRB,E,6
11683,ESRB,T,13
11683,PEGI,Twelve,12
11689,ESRB,E,6
11694,ESRB,T,13
11694,PEGI,Twelve,12
11695,ESRB,T,13
11696,ESRB,T,13
11701,ESRB,T,13
11701,PEGI,Twelve,12
11739,ESRB,T,13
11743,ESRB,T,13
11743,PEGI,Twelve,12
11746,ESRB,M,17
11746,PEGI,Eighteen,18
11755,CERO,CERO_B,12
11757,ESRB,M,17
11758,ESRB,M,17
11758,PEGI,Sixteen,16
11758,CERO,CERO_C,15
11759,ESRB,M,17
11759,PEGI,Twelve,12
11759,CERO,CERO_C,15
11762,PEGI,Three,3
11762,ESRB,E,6
11781,ESRB,M,17
11781,PEGI,Sixteen,16
11781,CERO,CERO_D,17
11781,ACB,ACB_RC,18
11783,ESRB,E10,10
11783,CERO,CERO_B,12
11789,PEGI,Eighteen,18
11789,ESRB,M,17
11793,ESRB,T,13
11814,PEGI,Twelve,12
11814,ESRB,T,13
11823,CERO,CERO_B,12
11826,CERO,CERO_B,12
11828,ESRB,T,13
11828,PEGI,Twelve,12
11828,CERO,CERO_B,12
11842,ESRB,T,13
11842,PEGI,Twelve,12
11852,PEGI,Twelve,12
11852,ESRB,T,13
11852,GRAC,GRAC_Eighteen,18
11857,PEGI,Sixteen,16
11857,ESRB,T,13
11857,CERO,CERO_C,15
11858,PEGI,Twelve,12
11858,ESRB,T,13
11858,CERO,CERO_D,17
11870,ESRB,E,6
12078,ESRB,T,13
12078,PEGI,Twelve,12
12078,CERO,CERO_B,12
12078,USK,USK_12,12
12078,GRAC,GRAC_Fifteen,15
12078,ACB,ACB_M,12
12195,ESRB,T,13
12266,PEGI,Three,3
12266,ESRB,E,6
12266,CERO,CERO_A,3
12279,ESRB,T,13
12279,PEGI,Sixteen,16
12279,CERO,CERO_B,12
12279,USK,USK_12,12
12279,GRAC,GRAC_Eighteen,18
12279,CLASS_IND,CLASS_IND_Fourteen,14
12279,ACB,ACB_MA15,15
12280,CERO,CERO_B,12
12280,ESRB,T,13
12280,PEGI,Twelve,12
12280,ACB,ACB_MA15,15
12298,ESRB,T,13
12299,ESRB,T,13
12299,PEGI,Sixteen,16
12299,CERO,CERO_B,12
12299,USK,USK_12,12
12299,ACB,ACB_MA15,15
12311,ESRB,E,6
12313,ESRB,E,6
12313,PEGI,Three,3
12314,ESRB,E,6
12321,ESRB,E,6
