companyID,company
1281,Kemco
1282,Kemco-Seika
1287,Irem
1289,DC Comics
1305,ValuSoft
1310,The Game Factory
1311,Cartoon Network Interactive
1327,SouthPeak Interactive
1340,Gargoyle Games
1343,Computer Applications Unlimited
1351,Lightwave Consultants
1352,The Avalon Hill Game Company
1354,Keypunch Software
1363,Akella
1365,Lucas Pope
1369,Project Reality Team
1383,ACQUIRE Corp.
1388,Black Label Games
1391,gamigo AG
1395,Minmax Games
1404,Titus Software
1405,Nippon Ichi Software
1414,Nexon Co. Ltd.
1428,Trendy Entertainment
1429,Reverb Communications
1430,Sun Corporation of America
1440,Taito Corporation
1455,Elixir Studios
1459,Milestone S.r.l.
1460,Plug In Digital
1466,Mastertronic
1467,Sammy
1474,SNK
1475,Infogrames Entertainment
1486,Strategic Simulations
1488,Activision Value
1490,Phoenix
1524,The Learning Company
1552,Astragon
1564,Portalarium
1566,Agetec
1568,Ancient
1570,Treco
1666,Sega Europe
1692,Hi Tech Expressions
1702,ND Games
1718,Dead Mage
1720,Just A Game
1725,Bandai America
1734,Barbie Software for Girls
1737,Little Orbit
1740,Parker Brothers
1743,ASCII Corporation
1744,Human Entertainment
1752,Athena
1753,Technos Japan
1755,SETA
1767,Victor Interactive Software
1772,Marvelous AQL
1780,Lexis Numerique
1785,SETA Corporation
1788,Bottom Up
1791,Acclaim Japan
1803,Bigben Interactive
1816,Culture Brain
1831,Compile
1835,Big Bit Ltd
1848,Kotobuki Systems
1854,Enix Corporation
1867,Sanrio Digital
1890,Nimbus Games
1893,PopCap Games
1917,Image Works
1920,Viz Media
1921,Shonen Jump
1932,Able Corporation
1933,Neko Entertainment
1942,Oxygen Games
1945,EA Sports BIG
1952,Sting Entertainment
1956,Idea Factory
1960,MTO
1975,2K Sports
1985,Melbourne House
2020,"Tecmo Co., Ltd."
2026,Naps Team
2034,XS Games
2036,Sunrise Interactive
2039,Tommo Inc
2052,NEC Interchannel
2061,Bomico Entertainment Software
2062,7th Level
2064,Data East USA
2067,Dempa Shimbunsha
2071,Ariolasoft
2079,Nordcurrent
2080,Palace Software
2081,Iron Tower Studio
2083,Metro 3D
2084,Wicked Witch Software
2102,Zoo Games
2103,Aksys Games
2104,Google
2113,Nobilis
2134,War Drum Studios
2137,cerasus.media
2138,Novitas Publishing
2159,Asylum Entertainment
2164,Play THQ
2179,DIC Entertainment
2182,Hip Games
2187,XSEED Games
2194,Rocket Company
2195,Paramount Digital Entertainment
2205,Big Blue Bubble
2238,EastAsiaSoft
2245,Big Fish Games
2246,Her Interactive
2248,Daedalic Entertainment
2252,Compile Heart
2255,Chillingo
2262,NIS America
2263,Boomzap Entertainment
2301,Anaconda
2324,CyberFront Korea
2329,GameMill Entertainment
2337,Blade Interactive
2344,Inti Creates
2372,American Laser Games
2379,Pony Canyon
2386,Coconuts Japan
2389,Digital Leisure
2391,IBM
2393,The Software Toolworks
2395,Sur de Wave
2396,Brother Kougyou
2398,HMH Interactive
2410,Frogwares
2414,Radiant Entertainment
2417,Tapwave
2421,Nokia
2426,Coleco
2428,5pb.
2448,Positech Games
2450,Versus Evil
2488,Atlus USA
2503,Lego Software
2512,Midnight City
2518,The Astronauts
2519,Sears
2521,Mattel Electronics
2549,Runesoft
2551,Bergsala Lightweight
2561,Digital Tribe
2576,Phantagram
2582,SNK Playmore
2585,Groove Games
2589,Blazing Griffin Ltd.
2594,In-Fusio
2611,AIA Games
2614,Arcen Games
2678,Data East
2710,Nickelodeon
2728,Gaijin Games
2759,Telegames
2776,Iceberg Interactive
2815,Orbital Media
2837,D4 Enterprise
2848,eGames
2850,Nintendo of America
2869,Cosmigo
2875,dk games
2880,Inferno Games
2909,FuRyu
2914,Grip Games
2917,Jumpbutton Studio
2918,Tehkan
2932,Ghostlight Ltd.
2950,Synetic
2958,CAVE Interactive
2983,Nomad Games
2992,Buka Entertainment
3010,Headup Games
3023,Virtual Programming
3032,Prototype
3037,Maximum Games
3044,UserJoy Entertainment
3046,Gust
3077,EKO Software
3078,En Masse Entertainment
3087,Yacht Club Games
3114,GameHouse
3118,MumboJumbo
3124,FCI
3153,Blockland LLC
3155,Excalibur Publishing
3158,Knuckle Cracker
3162,Night Dive Studios
3192,Krillbite Studio
3212,Gremlin Graphics Software Ltd.
3227,Zoo Corporation
3301,Atari Europe
3393,Capcom USA
3491,GOG.com
3582,Activision Publishing
3595,Tencent Games
3596,Mail.Ru
3682,Digital Domain
3697,"Jackbox Games, Inc."
3701,"Nicalis, Inc."
3712,Slitherine Software UK Ltd.
3714,DTMC
3715,Hewson Consultants
3722,Extreme Entertainment Group
3727,Aeria Games
3745,Magic Pixel Games
3772,Ultimate Play the Game
3820,KISS ltd
3834,Brace Yourself Games
3906,Anuman Interactive
3921,Blendo Games
3922,Red Rocket Games
3926,Game Factory
3958,Bandai Namco Games
3990,A10
4027,Focus Multimedia
4034,Nintendo of Europe
4072,LSP
4091,PQube
4094,Aldorlea Games
4096,Vertigo Games
4109,Kabam
4117,Ralston-Purina
4119,Mirrorsoft
4180,MagicalTimeBean
4181,MojoTouch
4225,Team Reptile
4226,Broken Rules
4281,Raptisoft Games
4284,GSP
4329,Starfish
4360,Connor Sherlock
4361,Yu Suzuki
4363,AGM Playism
4367,SelectSoft Publishing
4370,JonnyWallace
4382,Nicolas Entertainment Group
4383,Lime Studios
4413,Bat Country Games
4414,Haruneko Entertainment
4415,ProjectorGames
4421,Utopian World of Sandwiches
4429,Linden Lab
4430,Black Market Games
4438,B-Factory
4440,Adult Swim Games
4468,SEGA of Japan
4475,Worldwide Biggies
4496,Renegade Kid
4497,Born Ready Games
4501,DotEmu
4502,LJN Toys
4504,Blue Ribbon
4507,Alligata
4508,Amsoft
4509,Mystique
4538,Kenji Ito
4539,PlayEveryWare
4545,Clickteam
4593,Sonic Powered
4594,Qubic Games
4599,Konjak
4604,Dramatic Create
4612,The Digital Lounge
4624,HumaNature Studios
4625,MachineZone
4627,IntraCorp
4635,I-Illusions
4640,ISOTX
4642,Camel 101
4643,Kasedo Games
4644,Stabyourself.net
4698,Blue Bottle Games
4700,SkyZone Entertainment
4706,Degica Games
4710,WildTangent
4722,Strata
4726,Merge Games
4727,GAME Studios
4735,David Williamson
4741,Forever Entertainment S. A.
4755,Winter Wolves
4760,Cherry Pop Games
4771,Studio Evil
4807,Shorebound Studios
4810,Amersoft
4811,Turbo Pixel Studios
4822,Arcadia Systems
4823,"CINEMAX, s.r.o."
4830,Titus France
4834,Sickhead Games
4971,Imagine Inc.
5024,Bandai Namco Holdings
5040,tinyBuild
5048,Curve Digital
5053,QCF Design
5054,Niantic Labs
5066,Vise
5084,Paul O'Brian
5092,Adam Cadre
5093,Expansive Worlds
5110,ALTAR Games
5118,Noumenon Games
5124,"Sanctuary Woods, Inc."
5144,Brilliant Skies Ltd.
5152,Bithell Games
5161,KranX Productions
5169,Armor Games
5176,Sold Out Sales & Marketing
5181,XGen Studios
5182,SpikySnail
5187,07th Expansion
5188,MangaGamer
5193,Puppy Games
5194,EightyEightGames
5200,Zima Software
5226,ZeptoLab
5229,Zynga
5257,Digerati Distribution
5262,DigitalDNA Games LLC
5265,Cobra Mobile
5283,Microids
5314,Invictus Games Ltd
5325,Sekai Project
5343,UFO Interactive Games
5449,Disruptive Games
5460,Auric Vision
5501,NetEase Games
5527,Rainbow Train
5542,Maddy Makes Games
5543,Star Command LLC
5678,ALICE IN DISSONANCE
5752,Nyu Media
5754,Davidson & Associates
5757,Hipster Whale
5824,Europress
5834,Textfyre
5838,Artifex Mundi
5840,Seika Corporation
5843,Shark Punch
5849,Silver Dollar Games
5888,Glassmoon
5901,Playaround
5903,Retrozone
5904,Dima Kiva
5906,Funvision
5909,Wisdom Tree
5915,Lost Decade Games
6017,Choice Provisions
6022,Black inc
6066,Koei Tecmo America Corporation
6071,Marvelous
6112,GrindHouse
6116,Chasing Carrots
6137,GriN Gamestudio
6183,Nkidu Games Inc.
6188,Digital Happiness
6202,Flying Interactive
6218,Wales Interactive
6324,Fireglow Games
6330,Namco Bandai Games
6331,Ratloop Asia
6332,Giant Army
6346,JAMDAT Mobile
6361,Data Age
6377,Serious Games Interactive
6379,CIRCLE Entertainment
6401,Trillium
6403,Datamost
6549,Good Shepherd Entertainment
6553,EasyGameStation
6557,Funktronic Labs
6918,PM Studios
6957,Flyhigh Works
6962,Phr00t's Software
6972,Libredia
6987,HandyGames
6999,SOEDESCO Publishing
7026,KBros Games
7064,Orangepixel
7093,GO!
7112,UnSane Creations
7135,Kosmos
7145,Martech
7146,Thalamus
7159,Linel
7178,MicroIllusions
7213,Personal Software Services
7216,Spry Fox LLC
7253,The Edge
7382,Rooster Teeth Games
7392,Philips
7395,FrameLineNetwork
7405,Electric Dreams Software
7423,Unknown Worlds
7424,Lucasfilm
7432,Retroism
7438,Kalypso Media Digital
7445,Koei Tecmo Europe
7455,Octoshark Studios
7492,Absolutist
7495,iWin
7512,Dedication Games
7517,"Namco Networks America, Inc."
7532,Red Redemption
7571,Virtual Basement LLC
7701,Dovetail Games
7836,Spectral Games
7884,Frogames
7919,Missing Link Games
7922,Silver Sphere Studios
7948,Joju Games
7984,astragon Entertainment GmbH
7996,Rockin' Android
7999,UIG
8017,Playbrains
8031,Back To Basics Gaming
8044,i273 LLC
8136,United Independent Entertainment GmbH
8152,Indomitus Games
8181,QUByte Interactive
8188,Pixeljam
8224,Aerosoft GmbH
8250,The Men Who Wear Many Hats
8278,Cartoon Network Games
8288,Iteration 11
8299,Slitherine Ltd.
8315,Niffler Ltd.
8332,Dreamatrix
8339,TawStudio Entertainment
8352,Viva Media Inc
8354,Matt Roszak
8366,Terrible Posture Games
8375,Elijah Newman-Gomez
8386,Funbox Media Ltd
8390,Condition One
8396,Spicy Tails
8399,Toge Productions
8425,SFB Games
8431,Nexon
8461,Vile Monarch
8528,Tap It Games
8539,Ice Water Games
8572,Kumobius
8611,Heart Shaped Games LLC
8628,Alawar Entertainment
8678,BlackMoon Design
8829,1C Game Studios
