ageID,ratingOrgID,ratingID,ratingOrg,rating,ageAbove
80589,1,11,ESRB,M,17
80590,2,4,PEGI,Sixteen,16
80591,3,16,CERO,CERO_D,17
80592,5,26,GRAC,GRAC_TESTING,NA
80595,3,13,CERO,CERO_A,3
80596,4,18,USK,USK_0,0
80597,5,23,GRAC,GRAC_Twelve,12
80598,6,28,CLASS_IND,CLASS_IND_Ten,10
80599,7,34,ACB,ACB_PG,6
80633,1,8,ESRB,E,6
80635,1,8,ESRB,E,6
80645,1,8,ESRB,E,6
80646,1,8,ESRB,E,6
80647,1,8,ESRB,E,6
80677,1,10,ESRB,T,13
80684,1,10,ESRB,T,13
80685,1,8,ESRB,E,6
80708,3,13,CERO,CERO_A,3
80709,4,19,USK,USK_6,6
80710,7,34,ACB,ACB_PG,6
80711,4,20,USK,USK_12,12
80712,7,35,ACB,ACB_M,12
80715,3,13,CERO,CERO_A,3
80716,4,18,USK,USK_0,0
80717,7,34,ACB,ACB_PG,6
80726,5,23,GRAC,GRAC_Twelve,12
80728,5,26,GRAC,GRAC_TESTING,NA
80729,5,23,GRAC,GRAC_Twelve,12
80740,1,10,ESRB,T,13
80749,1,8,ESRB,E,6
80772,1,10,ESRB,T,13
80776,1,8,ESRB,E,6
80777,5,24,GRAC,GRAC_Fifteen,15
80781,5,26,GRAC,GRAC_TESTING,NA
80785,1,10,ESRB,T,13
80799,1,8,ESRB,E,6
80802,1,8,ESRB,E,6
80803,1,10,ESRB,T,13
80807,1,9,ESRB,E10,10
80812,1,8,ESRB,E,6
80823,7,39,ACB,NA,NA
80826,1,8,ESRB,E,6
80845,1,8,ESRB,E,6
80846,1,8,ESRB,E,6
80859,1,8,ESRB,E,6
80863,1,8,ESRB,E,6
80868,1,8,ESRB,E,6
80874,1,8,ESRB,E,6
80880,1,8,ESRB,E,6
80886,1,8,ESRB,E,6
80889,1,8,ESRB,E,6
80894,1,10,ESRB,T,13
80898,1,8,ESRB,E,6
80899,1,8,ESRB,E,6
80902,1,10,ESRB,T,13
80903,1,8,ESRB,E,6
80908,1,8,ESRB,E,6
80918,2,3,PEGI,Twelve,12
80919,1,9,ESRB,E10,10
80920,1,8,ESRB,E,6
80924,1,10,ESRB,T,13
80941,1,9,ESRB,E10,10
80958,1,8,ESRB,E,6
80959,2,1,PEGI,Three,3
80961,2,3,PEGI,Twelve,12
80963,2,3,PEGI,Twelve,12
80975,1,10,ESRB,T,13
80979,1,9,ESRB,E10,10
80980,1,10,ESRB,T,13
80985,5,26,GRAC,GRAC_TESTING,NA
80994,1,8,ESRB,E,6
80997,1,8,ESRB,E,6
80999,5,25,GRAC,GRAC_Eighteen,18
81012,1,10,ESRB,T,13
81022,5,25,GRAC,GRAC_Eighteen,18
81024,5,25,GRAC,GRAC_Eighteen,18
81027,5,24,GRAC,GRAC_Fifteen,15
81030,2,4,PEGI,Sixteen,16
81031,4,21,USK,USK_18,18
81032,5,26,GRAC,GRAC_TESTING,NA
81033,6,32,CLASS_IND,CLASS_IND_Eighteen,18
81034,7,37,ACB,ACB_R18,18
81035,2,4,PEGI,Sixteen,16
81036,4,21,USK,USK_18,18
81037,5,26,GRAC,GRAC_TESTING,NA
81038,6,32,CLASS_IND,CLASS_IND_Eighteen,18
81039,7,37,ACB,ACB_R18,18
81049,1,8,ESRB,E,6
81059,5,26,GRAC,GRAC_TESTING,NA
81083,5,23,GRAC,GRAC_Twelve,12
81084,1,8,ESRB,E,6
81087,5,23,GRAC,GRAC_Twelve,12
81088,5,26,GRAC,GRAC_TESTING,NA
81107,1,10,ESRB,T,13
81108,1,8,ESRB,E,6
81109,1,8,ESRB,E,6
81110,1,8,ESRB,E,6
81120,1,10,ESRB,T,13
81135,5,26,GRAC,GRAC_TESTING,NA
81137,5,24,GRAC,GRAC_Fifteen,15
81138,5,25,GRAC,GRAC_Eighteen,18
81139,5,23,GRAC,GRAC_Twelve,12
81140,5,24,GRAC,GRAC_Fifteen,15
81141,5,23,GRAC,GRAC_Twelve,12
81144,5,24,GRAC,GRAC_Fifteen,15
81145,1,8,ESRB,E,6
81147,5,24,GRAC,GRAC_Fifteen,15
81149,5,23,GRAC,GRAC_Twelve,12
81155,5,26,GRAC,GRAC_TESTING,NA
81160,5,23,GRAC,GRAC_Twelve,12
81161,5,24,GRAC,GRAC_Fifteen,15
81169,1,10,ESRB,T,13
81171,5,24,GRAC,GRAC_Fifteen,15
81176,5,26,GRAC,GRAC_TESTING,NA
81181,5,23,GRAC,GRAC_Twelve,12
81188,5,26,GRAC,GRAC_TESTING,NA
81191,5,23,GRAC,GRAC_Twelve,12
81192,5,23,GRAC,GRAC_Twelve,12
81194,5,26,GRAC,GRAC_TESTING,NA
81197,5,24,GRAC,GRAC_Fifteen,15
81199,5,24,GRAC,GRAC_Fifteen,15
81202,5,24,GRAC,GRAC_Fifteen,15
81207,5,23,GRAC,GRAC_Twelve,12
81208,5,26,GRAC,GRAC_TESTING,NA
81233,1,8,ESRB,E,6
81240,5,24,GRAC,GRAC_Fifteen,15
81241,5,26,GRAC,GRAC_TESTING,NA
81242,5,23,GRAC,GRAC_Twelve,12
81277,1,8,ESRB,E,6
81282,2,3,PEGI,Twelve,12
81283,1,10,ESRB,T,13
81284,4,20,USK,USK_12,12
81285,6,30,CLASS_IND,CLASS_IND_Fourteen,14
81286,7,35,ACB,ACB_M,12
81301,1,10,ESRB,T,13
81302,2,4,PEGI,Sixteen,16
81303,4,21,USK,USK_18,18
81304,5,24,GRAC,GRAC_Fifteen,15
81305,6,30,CLASS_IND,CLASS_IND_Fourteen,14
81306,7,36,ACB,ACB_MA15,15
81309,7,35,ACB,ACB_M,12
81310,4,19,USK,USK_6,6
81312,1,8,ESRB,E,6
81328,1,8,ESRB,E,6
81329,1,10,ESRB,T,13
81340,1,10,ESRB,T,13
81343,1,8,ESRB,E,6
81347,2,3,PEGI,Twelve,12
81348,5,23,GRAC,GRAC_Twelve,12
81349,6,28,CLASS_IND,CLASS_IND_Ten,10
81350,7,35,ACB,ACB_M,12
81351,4,21,USK,USK_18,18
81352,5,26,GRAC,GRAC_TESTING,NA
81353,6,32,CLASS_IND,CLASS_IND_Eighteen,18
81354,7,36,ACB,ACB_MA15,15
81355,1,9,ESRB,E10,10
81356,2,2,PEGI,Seven,7
81357,5,23,GRAC,GRAC_Twelve,12
81358,6,28,CLASS_IND,CLASS_IND_Ten,10
81359,7,34,ACB,ACB_PG,6
81360,7,35,ACB,ACB_M,12
81361,1,8,ESRB,E,6
81362,2,2,PEGI,Seven,7
81363,3,13,CERO,CERO_A,3
81364,4,18,USK,USK_0,0
81365,7,34,ACB,ACB_PG,6
81366,1,9,ESRB,E10,10
81367,2,2,PEGI,Seven,7
81368,3,14,CERO,CERO_B,12
81369,4,20,USK,USK_12,12
81370,5,24,GRAC,GRAC_Fifteen,15
81371,6,29,CLASS_IND,CLASS_IND_Twelve,12
81372,7,35,ACB,ACB_M,12
81374,3,17,CERO,CERO_Z,18
81375,4,22,USK,GRAC_ALL,0
81376,5,26,GRAC,GRAC_TESTING,NA
81377,6,32,CLASS_IND,CLASS_IND_Eighteen,18
81381,5,23,GRAC,GRAC_Twelve,12
81383,5,24,GRAC,GRAC_Fifteen,15
81384,5,23,GRAC,GRAC_Twelve,12
81385,1,8,ESRB,E,6
81387,5,25,GRAC,GRAC_Eighteen,18
81388,5,24,GRAC,GRAC_Fifteen,15
81389,5,25,GRAC,GRAC_Eighteen,18
81390,5,23,GRAC,GRAC_Twelve,12
81392,5,24,GRAC,GRAC_Fifteen,15
81394,5,24,GRAC,GRAC_Fifteen,15
81396,5,24,GRAC,GRAC_Fifteen,15
81398,1,8,ESRB,E,6
81405,1,8,ESRB,E,6
81408,1,8,ESRB,E,6
81417,5,24,GRAC,GRAC_Fifteen,15
81419,5,23,GRAC,GRAC_Twelve,12
81420,5,23,GRAC,GRAC_Twelve,12
81421,5,24,GRAC,GRAC_Fifteen,15
81423,5,23,GRAC,GRAC_Twelve,12
81424,5,23,GRAC,GRAC_Twelve,12
81427,5,25,GRAC,GRAC_Eighteen,18
81436,5,23,GRAC,GRAC_Twelve,12
81437,5,23,GRAC,GRAC_Twelve,12
81438,5,26,GRAC,GRAC_TESTING,NA
81440,5,23,GRAC,GRAC_Twelve,12
81441,5,24,GRAC,GRAC_Fifteen,15
81442,1,8,ESRB,E,6
81446,5,23,GRAC,GRAC_Twelve,12
